id,name,params,description
"01807959-3249-40f3-a25b-9983b3d9e5cb","Tortured","strength*0.25\,agility*0.25\,vitality*0.25\,srg*0.25","You were tortured at Trosky\, and as a result your Strength\, Agility and Vitality are reduced."
"04218e40-e756-476b-914e-03d67a24e733","Poison","poi=1","You've been poisoned."
"053b4122-6dfa-44d1-9a7c-70bf14c67506","inDialog","vision*0.8\, hearing*0.8",
"0606c003-7419-4e83-b359-59d1ff5ca8f5","svatba_tournamentBuffForNpc","hlh*0.1\,slh*0.1\,ade*1.2",
"061d9f55-6652-461f-bb64-471a631f2d21","item_bridle","vitality+5\,agility+3",
"0648c02b-ebe8-4a77-85a5-23b43f625dc5","Well Rested","mst*1.2","You slept well\, so you have 20% more Stamina."
"068143cd-45b5-4c44-8c6c-9d2c622b75de","blacksmithing_stamina",,
"072de769-e653-4191-80e6-8c1fcd207d59","Saliva",,"You have a mild alcohol habit\, but so far it's had no consequences for you. Long-term abstinence will cure you."
"076c2e93-347d-4996-bef9-016c3d890008","not_so_tough_guy","hlh*2.5",
"07db9dfd-0e0c-4cbe-bf8a-10aaa1add262","test_invisible","ors=-1",
"083704b7-e238-41c3-9996-8ebd5cde89e1","boar_easyKill_permanent","hlh=30\,slh=100\, ble*3",
"084023c1-a396-4d48-aaeb-7e0f7981b66d","prepadeni_ptacekBoostSpeed","agility=30",
"0873fbf3-a245-4e3e-9b4a-bb2f2df09c02","prepadeniVlasskehoDvora_alcoholAntidoteBooster","apa=0.05",
"087ae30d-5484-4223-8814-0bc946a07172","Stamina Frenzy","hlh*0.5\,slh*1.8",
"0902c0be-711b-40be-bc76-78d93de970aa","meat_str_exp_test","xst*1.1",
"09fd5ffb-4972-4b70-8c2e-02c35bd15602","combat_passivity","cag=0",
"0a00cd37-3769-4d0f-8f82-088d5a3f9b1b","mlynaruvUcen_stealthTakedownDebuff","fencing=1",
"0ba907a9-780f-4427-ba8a-a3b2a788d0bc","unstream_protection_nonpersistent",,
"0c903899-fcc9-4cf2-9ee3-1130ac08b0fc","Bleeding",,"You're bleeding. Unless you bandage your wounds\, you'll slowly lose health and die. The bleeding won't stop on its own."
"0d256673-3b7a-4125-a069-b40c20d5071f","boar_charge","cow+1200",
"0d635e3e-757d-477a-8196-f504f8afce46","Time Well Spent","strength+1\,agility+1\,vitality+1\,deb+1","You've had some sweet moments which no one can take away from you. You feel refreshed and invigorated.&lt;br/&gt;&amp;nbsp;&lt;br/&gt;Your Strength\, Agility and Vitality are temporarily increased by 1."
"0d7ada24-d3fc-4dc9-abc8-5e57bdf747bc","test_nighthawk_visual","owl+1",
"0dcc7c4f-6ea3-4bd7-8f80-79249c4f5a66","haggle_denial","hde+1",
"0e553f9a-5da8-4050-912e-0506e4a95c18","Tortured","strength*0.8\,agility*0.8\,vitality*0.8","You were tortured at Trosky\, and as a result your Strength\, Agility and Vitality are reduced."
"0f6bc79a-fc67-4aab-a797-4a9d4e4c2dc5","death_protection_nonpersistent","imm=1\,upr=1",
