id,name,description
"000a72ec-f904-4e06-8c57-2eac8ab6ec73","Cuman shield","A circular Cuman shield used by light Hungarian horsemen."
"0017bb74-7092-498e-98ac-d95af5998784","Broken shield","The remains of the shield. Good as firewood."
"001d1fff-a2d1-4dd3-8340-71150610c91e","Freshly picked bouquet","Fresh fragrant flowers are always a rarity\, as is true love."
"0027df44-5f9c-4c92-9f81-a83ca124c4a8","Wanderer's hood","Whether the sun is shining\, it's raining or snowing\, this hood will never let you down. There was one who went all the way to Jerusalem wearing it\, and when his bereaved sold it\, he had a nice funeral out of it too."
"00393f8f-6999-431a-b6ec-e8cfd32b04e1","Broken shield","The remains of the shield. Good as firewood."
"003c862e-e1a9-480b-80b9-be6a2ccf055f","Leather apron","A short linen tunic joined with a leather apron for harder work in the workshop."
"0067c708-9a85-4034-b9fb-94975eda6bf3","Bathhouse bedchamber key","The key to the bedchamber shared by the bathwenches at Adam's bathhouse."
"0068874e-067a-474a-8af9-3b9a466b34d1","Cuman caftan","A caftan is a long men's overcoat with long sleeves. It is a traditional part of the male dress of nomads from the eastern steppes. This one is heavily decorated with an embroidered hem."
"0077dfa2-b9be-4ae3-ae59-2803ba49dfcb","Ornate Cuman bow","The Cuman riding bows are one of the lighter bows\, easy to handle even from the horse's saddle. Their strength comes from the layering of different materials similar to better crossbows. This piece is exceptionally well crafted and therefore slightly stronger than normal."
"007907cf-aeb9-4dfa-ad3f-e0262893e423","Reinforced bludgeon","A wooden bludgeon reinforced with blunt spikes that can quickly turn anyone's face to a bloody mash. A weapon like this can put a swift end to any tavern brawl or absent-minded traveller's life."
"009a655e-189d-4519-b437-ccc4b92be48d","Bag of nails","Half a pound of metal nails. Theresa would be very happy."
"00b0039b-daa4-4f32-ac7f-69a6a2e0add8","Dagger mace","A fine\, agile weapon with a dangerous tip forged into the shape of a dagger. No pauper can get his hands on a weapon like this\, unless he steals it."
"00b7ed62-a7bd-4269-acfa-8d852366579b","Short gambeson","A quilted combat coat made of several layers of plain linen. Can be worn alone or as a basic soft layer under other types of armour."
"00ca0662-0569-4b69-8ff3-b9e396c49298","Sketch – Racing horseshoes","A blacksmith's horseshoe sketch. Because every master had to start somehow."
"00ca5817-d30a-4afc-a9f0-72bfa3760a91","Broken shield","The remains of the shield. Good as firewood."
"00cbcdca-e6ee-4fe6-bf87-2acd9f2b21aa","The Art of the Sword I","A skill book on Sword combat."
"00cca9e3-8ef2-46db-8cbf-86ec51930919","Duelling longsword","A perfectly balanced sword with a slender blade for true sword masters. The longsword is a noble weapon for swordfighting and a quick way to send any fool to the other side."
"00ec7e8d-4d4a-4365-97fe-5323d02bff49","Smugglers's map","A map I found on a dead smuggler in the Kuttenberg underground."
"00f104b3-e95c-41ee-95a9-35d0331ac295","Cuman shield","A circular Cuman shield used by light Hungarian horsemen."
"01076303-fcd7-4afa-b40f-de8509245819","Broad battle coif","A quilted hood with a wide collar protecting the neck and shoulders of the fighter."
"01151dab-bb77-4524-be5f-3bf94b00575f","Hose joined","Long hose are a staple of men's clothing. They are worn by noble lords as well as simple folks. However\, they differ in quality of fabric\, cut or richness of colour. These hose are fashionably joined at the crotch by a separate flap."
"0116b44d-972d-43a1-8a59-dfe40b2ae916","Worn gambeson","A heavily worn\, patch-covered quilted gambeson. Sadly\, adding more patches to it won't make it any better."
"012dee46-cfc3-4632-81ef-075c0bdaf0d4","Riding waffenrock","The Waffenrock is a loose outer garment\, usually linen\, worn over armour. It carried the colours of the lord\, town or ruler the wearer bore allegiance to\, and as such was the precursor of the military uniform. It also protects its wearers armour from dust and harsh sun."
"0146b4e9-1698-4f02-a6c4-f50e2d659540","Dried valerian","To be found on forest paths\, in mires and peat bogs and everywhere that ground is damp."
"014e4e12-5574-4756-8460-2c5078a3285c","Hemmed waffenrock","The Waffenrock is a loose outer garment\, usually linen\, worn over armour. It carried the colours of the lord\, town or ruler the wearer bore allegiance to\, and as such was the precursor of the military uniform. It also protects its wearers armour from dust and harsh sun."
"015e6ed5-47e0-4d48-add8-cd7a813ad5c1","Master huntsman's hat","The pointed hunting hat decorated with a brooch is the badge of an experienced hunter. Poachers should be on the lookout if they see him."
"0175e8ac-0777-4ad4-8bf9-dba35921dca8","Vagrant's hat","A simple felt hat with a wide brim protects your head from the sun and rain. For a poor vagrant\, it's often his only possession besides his own rucksack."
"018697e5-48cb-4f20-8789-2411f30647bf","Plain troubadours' hose","These colourful hose are worn by troubadours\, jesters and generally eccentric people who like to play pranks on others."
"01894921-14e0-4012-a3a6-5f1fcf01d2d2","Cuman leather hat","A cap made of raw leather and sewn with leather straps is an unmistakable headgear of the Cuman raiders."
"018c1614-ddbf-4d9b-a797-40330be86c1c","Long gambeson","A quilted combat shirt made of several layers of plain linen. It provides some protection on its own\, but is primarily worn as a soft underlayer under all types of armour."
"018c7670-6fe6-4728-8c3d-d1b1becade1a","Wreath","A festive beech leaf wreath is designed for big days\, such as the wedding day."
"01b821a8-ff61-405f-bc31-35ae85c7c029","Cuman leather hat","A cap made of raw leather and sewn with leather straps is an unmistakable headgear of the Cuman raiders."
"01d468fe-0fe8-4bb3-9bcc-e8abcbb9e9a4","Ancient moonshine","A bottle of moonshine that's been hidden in the caves beneath Trosky since the castle was built. It's a once-in-a-lifetime experience."
"01fd6791-d9dc-46d3-8331-1ac65ee61dd5","Long gambeson","A quilted combat shirt made of several layers of plain linen. It provides some protection on its own\, but is primarily worn as a soft underlayer under all types of armour."
"0214df7d-7566-4238-a932-8f66b2478e59","Lord Polner heater shield","A shield made of wooden planks glued together and covered with thin rawhide. These shields are usually decorated with the coat of arms of a lord\, noble family or city."
"02339c2a-75cb-490e-80de-7cbb8f4f3038","Noblewoman's cotehardie","A light outer jacket\, popular among wealthy burghers and noblewomen. It is commonly adorned with pendants\, decorative buttons and embroidery. Long\, flared sleeves are also in vogue."
"02383d59-97aa-408d-8d25-4ab31a9ecbda","Fitted coat","A fitted coat made of good fabric with a wider skirt will make its wearer look good in any better company."
"0251611c-74a0-43c9-9ac8-28a44bf1655d","Smoked perch","Perch or other fish are healthy\, you should eat a lot of them. You can season fish with spices and coat it in flour. Then fry it in butter. Finally\, sprinkle it generously with fried onion and serve with bread."
"025f546b-7465-4070-a57d-e84852adc184","Smoked hare meat","Hare meat is tender\, tasty and healthy. Only hares aren't very big\, so it might not fill your belly."
"025ff2da-4a97-4217-bbe5-762c06c9f09a","Ius regale montanorum II","An abridged copy of the Royal Mining Law on Courts."
"026f24e9-9836-47d8-ab42-bd8f9b2fc73e","Gartered hose","A long hose are a staple of men's clothing\, but garters are worn only by the nobility\, wealthy bourgeoisie or various freedmen. Nothing for the common peasant."
"0279ca13-5ab4-4bf1-ab29-76efbcb39a6e","Simple brigandine","Folded armour made up of a number of forged plates hammered side by side under a leather vest of good cowhide. A well-made brigandine has the individual plates folded so that they overlap slightly. Compared to a plate cuirass\, it is a little cheaper to make\, but still a very expensive part of a warrior's armour."
"0290b689-c01c-480f-b121-bed71ad1f5e0","Eyebright","Grows on pastures and heaths and in all places where there is light enough\, as well as wet ground."
"02af093e-411c-4369-b428-5502ffe277cc","Round cap","A simple round cap is popular especially among the bourgeoisie."
"02b0e86d-9ee0-4262-9d56-9bedaf578a54","Festive dress","A buttoned dress with a long skirt is the ideal garment for formal occasions\, both for bourgeois and wealthier village women."
"02c1ed76-1a9b-4dfe-b4b2-65b4283afba2","Miner's tunic","Short linen tunic with a simple miner's shirt for working in the mines."
"02d9c556-6c40-4e5e-abab-48b2acc7287a","Dried apple","Nothing special\, but at least it will not spoil."
"02e23cb9-05aa-4aab-bbb8-4023a72e22f9","Steel skullcap","One-piece helmet of plain cut designed for plain squires."
"02f819cf-58ce-435b-86ce-d18c988b7e40","Rare book from Sedletz","A precious volume that the customs collector Matthew stole from the Sedletz monastery."
"03457360-206e-42fb-9bfc-41509b84faed","Lords of Semine knight shield","A battle shield made of wooden planks joined glued together and covered with raw cowhide. Usually its outer side is decorated with the coat of arms of the lord or other symbol by which the warriors can recognize each other in the heat of battle."
"03523eb8-1db0-4e14-b76c-14877cc8fae8","Noble boots","Decorated high men's boots with a raised toe\, made of quality leather. They are designed for the richest."
"0364c89d-ac13-44ef-94d5-22b4047e7a26","Short chainmail","Shortened chainmail shirt with long sleeves."
"036661e4-4556-4295-82f3-264e48cb2d49","Guild Longsword","The guild longsword is a magnificent weapon crafted to celebrate the founding of the Kuttenberg swordfighting brotherhood. It was subsequently adopted as their emblem. The master swordsman\, who leads the brotherhood\, wears it at his side only on ceremonial occasions. Most of the time\, it adorns the great hall of the Kuttenberg swordfighting house."
"036b0d6e-b2bb-4f7f-a185-0c379963f24a","Servant's hood","Plain and poorly tailored\, but it protects perhaps more than the best wool. For everyone can see at a glance that the wearer is in the service of his master. And a servant can only be kicked with impunity by his master\, no one else!"
"0394d9ae-f96e-4814-9e8f-363a4e4ed282","Gartered hose","A long hose are a staple of men's clothing\, but garters are worn only by the nobility\, wealthy bourgeoisie or various freedmen. Nothing for the common peasant."
"039bc3a6-ac77-4e59-a1fa-37c0b4db3b67","Crude padded coif","Sturdy padded cap serving as a soft underlayer beneath the helmet. A good soft padding is simply essential\, even for tough guys."
"03a8173e-fd4c-4913-a181-a3fe1b432200","Common ladies shoes","A common ladies leather shoes with a round toe\, also known as crocs. They are worn by women and girls from the whole society."
"03b6321d-4151-46cd-bdec-451ea7bfaabc","Voulge","A polearm commonly used by foot soldiers. A virtuous knight would not touch such a weapon\, but for a city patrol it is an invaluable tool for establishing order and respect in even the most crime-ridden places."
"03ecf014-f5c4-4eaa-bb64-4a993ada4f0b","Noble's bascinet","A helmet with a klappvisor in a fashionable round pattern. It is much better adapted to the face\, so it is easier to breathe and the knight has a better view to the sides through the folded visors."
"04029519-5e1b-4a82-8e21-5754cf07ea00","Miner's cap","A felt cap adjacent to the head has an extended brim at the back to prevent rock rubble\, dust and dirt from falling behind the neck when working in the mine."
"04108c5b-1663-495d-8a05-bb423516775d","Burgher coat","A burgher overcoat made of fine fabric with rich embrodiery and decorated buttons."
"043136b0-da77-4ef5-b9bb-970c8daeb58f","Leather apron","A long linen tunic joined by a long leather apron for harder work in the workshop."
"04386d39-90fd-4de7-8da1-5f16a1b5bda6","Jester shoes","Jester's shoes\, with a bell on a toe\, jingle as he walks. Sometimes it's amusing\, sometimes infuriating."
"043dbb89-6a87-4dd7-a6ee-ca8c094acc18","Key to the Sedletz mortuary","A rusty key to the Sedletz mortuary."
"046c9155-8127-4247-831b-f1f6123a303e","Brocade hood","Have you achieved success\, are you noble and rich\, or at least you want it to look that way? You can't go wrong with a brocade lining."
"047bb3c5-f12f-4c12-905b-6e3a3908ea60","Broken shield","The remains of the shield. Good as firewood."
"048fff11-3356-4cef-867e-a15a8b79d6f2","Sack of scrap","Lots of indispensable and undoubtedly necessary things in one place."
"04902d64-dac9-42cc-ba5b-7d0a899607b3","Noble cuirass","A masterpiece from the best armoursmith workshops. Well-set metal parts decorated with brass bands\, possibly additionally suitably gilded. The two-piece cuirass is joined by folded plate faulds\, so that the armour perfectly covers the whole body and can still be worn while riding a horse."
"04bdbf37-e92d-45c5-b365-21983f4f13e0","Hose loose","Only nomads and Hungarian horsemen wear such strangely frilled trousers wrapped tightly around their calves."
"04ca0525-2e33-42d1-bf62-1cb14dcc306a","Decorated headpiece","Ornate headpieces are worn by young unmarried girls on their uncovered hair\, by married women under the veil."
"04dc56da-9f2e-4741-93a5-aa6ec3a7cece","Ginger","You won't find this exceedingly rare plant anywhere else but in the apothecary."
"04de6c7a-5fd1-4a0e-83d7-18d3218a250a","Grimey skullcap","One-piece helmet of plain cut designed for plain squires."
"0502824d-a654-4471-9978-c1624860dde1","Blacksmith's hammer","If a blacksmith doesn't have a hammer\, the first thing he must forge is a hammer\, but..."
"051bd377-e133-48e6-a12c-3a77e90de633","Brocade hood","Have you achieved success\, are you noble and rich\, or at least you want it to look that way? You can't go wrong with a brocade lining."
"0531cc2d-29c2-42e6-a706-013e464de93f","Recipe for Lion perfume","A strong but short-lasting perfume. Substantially increases charisma for short periods\, but reduces charisma if combined with another perfume."
"0531f403-6772-44a6-939d-01a335c0b424","Mitts","Mitts are good for keeping your hands warm and protecting your fingers from injury\, but aren't exactly suitable for anything requiring delicate handling."
"053cb9c9-202c-4d62-93ea-ef3acd34ad2e","Short tunic","A short linen tunic is worn by rich and poor alike as a base for the rest of the outfit."
"0540e326-562b-41c7-9c8a-20ecce2aa17c","Beggar's hood","Even a quality hood will turn into a worthless rag with time and wear\, but it's still better than nothing."
"059893ea-3aef-48b3-b1ce-7eb3391fa028","Training longsword","A wooden longsword that can bruise but not kill. For those who are serious about swordsmanship\, this is an invaluable tool for practicing."
"05bef17b-ddeb-426d-aa53-52ff6d4f521e","Poppy","It is found abundantly in fields and furrows as a bothersome weed."
"05f2b2cc-fd48-496e-ab0c-45160910dfde","Commemorative coin","A dirty and worn-out grosch that someone hid for luck in the foundations of the building."
